model,feature,step_pct,cknna,cos_dist,n_eps,n_with_feat,random_mean,random_std
lbva_v25,V-D1,0,0.5801700949668884,0.014430317096412182,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,V-D1,25,0.5410065054893494,0.011268927715718746,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,V-D1,50,0.49273720383644104,0.007056660484522581,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,V-D1,75,0.6526392698287964,0.0034834903199225664,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,V-D1,100,0.6888240575790405,0.0018353295745328069,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,V-B0,0,0.6668731570243835,0.001078481087461114,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,V-B0,25,0.6626157760620117,0.0013650928158313036,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,V-B0,50,0.645713746547699,0.0012483091559261084,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,V-B0,75,0.594706654548645,0.0010114895412698388,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,V-B0,100,0.7747846245765686,0.0011403064709156752,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,V-B7,0,0.6526914238929749,0.000928528665099293,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,V-B7,25,0.5990771651268005,0.0010516828624531627,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,V-B7,50,0.707699179649353,0.0009748568409122527,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,V-B7,75,0.811575174331665,0.0008440648089163005,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,V-B7,100,0.8322966694831848,0.0008549128542654216,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,V-B14,0,0.7246736288070679,0.0027722506783902645,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,V-B14,25,0.720483124256134,0.0028609433211386204,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,V-B14,50,0.7446935176849365,0.0026740708854049444,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,V-B14,75,0.7472104430198669,0.0025108640547841787,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,V-B14,100,0.6989486217498779,0.002970541827380657,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,V-B21,0,0.7303371429443359,0.00493090134114027,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,V-B21,25,0.7224397659301758,0.00556492805480957,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,V-B21,50,0.7528991103172302,0.004730923101305962,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,V-B21,75,0.7528808116912842,0.004177112132310867,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,V-B21,100,0.703750491142273,0.004379690624773502,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,V-B29,0,0.7300482988357544,0.00320064602419734,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,V-B29,25,0.7462690472602844,0.002843644469976425,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,V-B29,50,0.7301234006881714,0.0025573105085641146,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,V-B29,75,0.7496494054794312,0.0029171588830649853,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,V-B29,100,0.7502759099006653,0.005860151723027229,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,V-Norm,0,0.7299811840057373,0.0029582807328552008,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,V-Norm,25,0.7494892477989197,0.0027637656312435865,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,V-Norm,50,0.7201126217842102,0.00261072744615376,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,V-Norm,75,0.7324399352073669,0.002925377804785967,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,V-Norm,100,0.7308140993118286,0.005536973476409912,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,T-D1,0,0.6875081062316895,0.3914700150489807,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,T-D1,25,0.6875081062316895,0.3914700150489807,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,T-D1,50,0.6875081062316895,0.3914700150489807,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,T-D1,75,0.6875081062316895,0.3914700150489807,20,20,0.4688013017177582,0.0738325461344502
lbva_v25,T-D1,100,0.6875081062316895,0.3914700150489807,20,20,0.4688013017177582,0.0738325461344502
