model,feature_source,vlm_variant_used,horizon,cknna_k10,robotwin_sr_easy,robotwin_sr_hard,robotwin_sr_avg
vidar_aloha_native,V-B29,,40,0.076987,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B29,,75,0.155833,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B29,,75,0.173991,88.7,87.0,87.85
xvla-robotwin2,V-B29,imgtext,75,0.439020,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B29,imgtext,75,0.425125,50.38,,50.38
abot-m0-robotwin2,V-B29,imgtext,75,0.433527,80.42,81.16,80.79
vidar_aloha_native,V-B29,,75,0.081677,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B29,,110,0.160283,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B29,,110,0.173138,88.7,87.0,87.85
xvla-robotwin2,V-B29,imgtext,110,0.437935,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B29,imgtext,110,0.426385,50.38,,50.38
abot-m0-robotwin2,V-B29,imgtext,110,0.439388,80.42,81.16,80.79
vidar_aloha_native,V-B29,,110,0.082402,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B29,,150,0.158064,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B29,,150,0.166216,88.7,87.0,87.85
xvla-robotwin2,V-B29,imgtext,150,0.423665,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B29,imgtext,150,0.409780,50.38,,50.38
abot-m0-robotwin2,V-B29,imgtext,150,0.421935,80.42,81.16,80.79
vidar_aloha_native,V-B29,,150,0.082840,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B29,,220,0.149167,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B29,,220,0.166358,88.7,87.0,87.85
xvla-robotwin2,V-B29,imgtext,220,0.399408,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B29,imgtext,220,0.381127,50.38,,50.38
abot-m0-robotwin2,V-B29,imgtext,220,0.398458,80.42,81.16,80.79
vidar_aloha_native,V-B29,,220,0.078989,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-Norm,,1,0.164096,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-Norm,,1,0.175172,88.7,87.0,87.85
xvla-robotwin2,V-Norm,imgtext,1,0.469821,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-Norm,imgtext,1,0.420960,50.38,,50.38
abot-m0-robotwin2,V-Norm,imgtext,1,0.429929,80.42,81.16,80.79
vidar_aloha_native,V-Norm,,1,0.067933,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-Norm,,3,0.163782,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-Norm,,3,0.174056,88.7,87.0,87.85
xvla-robotwin2,V-Norm,imgtext,3,0.468762,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-Norm,imgtext,3,0.419963,50.38,,50.38
abot-m0-robotwin2,V-Norm,imgtext,3,0.430427,80.42,81.16,80.79
vidar_aloha_native,V-Norm,,3,0.068652,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-Norm,,7,0.167375,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-Norm,,7,0.175710,88.7,87.0,87.85
xvla-robotwin2,V-Norm,imgtext,7,0.470188,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-Norm,imgtext,7,0.423339,50.38,,50.38
abot-m0-robotwin2,V-Norm,imgtext,7,0.429285,80.42,81.16,80.79
vidar_aloha_native,V-Norm,,7,0.071845,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-Norm,,15,0.162659,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-Norm,,15,0.174503,88.7,87.0,87.85
xvla-robotwin2,V-Norm,imgtext,15,0.470652,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-Norm,imgtext,15,0.424305,50.38,,50.38
abot-m0-robotwin2,V-Norm,imgtext,15,0.433871,80.42,81.16,80.79
vidar_aloha_native,V-Norm,,15,0.073578,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-Norm,,25,0.164058,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-Norm,,25,0.177860,88.7,87.0,87.85
xvla-robotwin2,V-Norm,imgtext,25,0.467989,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-Norm,imgtext,25,0.428913,50.38,,50.38
abot-m0-robotwin2,V-Norm,imgtext,25,0.435674,80.42,81.16,80.79
vidar_aloha_native,V-Norm,,25,0.074493,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-Norm,,40,0.162623,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-Norm,,40,0.174325,88.7,87.0,87.85
xvla-robotwin2,V-Norm,imgtext,40,0.462332,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-Norm,imgtext,40,0.431613,50.38,,50.38
abot-m0-robotwin2,V-Norm,imgtext,40,0.432660,80.42,81.16,80.79
vidar_aloha_native,V-Norm,,40,0.073308,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-Norm,,75,0.157142,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-Norm,,75,0.173596,88.7,87.0,87.85
xvla-robotwin2,V-Norm,imgtext,75,0.439020,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-Norm,imgtext,75,0.425125,50.38,,50.38
abot-m0-robotwin2,V-Norm,imgtext,75,0.433527,80.42,81.16,80.79
vidar_aloha_native,V-Norm,,75,0.077700,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-Norm,,110,0.162354,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-Norm,,110,0.171939,88.7,87.0,87.85
xvla-robotwin2,V-Norm,imgtext,110,0.437935,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-Norm,imgtext,110,0.426385,50.38,,50.38
abot-m0-robotwin2,V-Norm,imgtext,110,0.439388,80.42,81.16,80.79
vidar_aloha_native,V-Norm,,110,0.076879,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-Norm,,150,0.158231,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-Norm,,150,0.168110,88.7,87.0,87.85
xvla-robotwin2,V-Norm,imgtext,150,0.423665,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-Norm,imgtext,150,0.409780,50.38,,50.38
abot-m0-robotwin2,V-Norm,imgtext,150,0.421935,80.42,81.16,80.79
vidar_aloha_native,V-Norm,,150,0.078400,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-Norm,,220,0.148198,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-Norm,,220,0.168250,88.7,87.0,87.85
xvla-robotwin2,V-Norm,imgtext,220,0.399408,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-Norm,imgtext,220,0.381127,50.38,,50.38
abot-m0-robotwin2,V-Norm,imgtext,220,0.398458,80.42,81.16,80.79
vidar_aloha_native,V-Norm,,220,0.073414,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,A-D1,,1,0.025696,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-D1,,1,0.069249,88.7,87.0,87.85
xvla-robotwin2,A-D1,imgtext,1,0.469821,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-D1,imgtext,1,0.420960,50.38,,50.38
abot-m0-robotwin2,A-D1,imgtext,1,0.429929,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-D1,,3,0.024139,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-D1,,3,0.067438,88.7,87.0,87.85
xvla-robotwin2,A-D1,imgtext,3,0.468762,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-D1,imgtext,3,0.419963,50.38,,50.38
abot-m0-robotwin2,A-D1,imgtext,3,0.430427,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-D1,,7,0.022915,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-D1,,7,0.067872,88.7,87.0,87.85
xvla-robotwin2,A-D1,imgtext,7,0.470188,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-D1,imgtext,7,0.423339,50.38,,50.38
abot-m0-robotwin2,A-D1,imgtext,7,0.429285,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-D1,,15,0.026234,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-D1,,15,0.068837,88.7,87.0,87.85
xvla-robotwin2,A-D1,imgtext,15,0.470652,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-D1,imgtext,15,0.424305,50.38,,50.38
abot-m0-robotwin2,A-D1,imgtext,15,0.433871,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-D1,,25,0.029696,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-D1,,25,0.068293,88.7,87.0,87.85
xvla-robotwin2,A-D1,imgtext,25,0.467989,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-D1,imgtext,25,0.428913,50.38,,50.38
abot-m0-robotwin2,A-D1,imgtext,25,0.435674,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-D1,,40,0.029422,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-D1,,40,0.064582,88.7,87.0,87.85
xvla-robotwin2,A-D1,imgtext,40,0.462332,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-D1,imgtext,40,0.431613,50.38,,50.38
abot-m0-robotwin2,A-D1,imgtext,40,0.432660,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-D1,,75,0.028929,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-D1,,75,0.066889,88.7,87.0,87.85
xvla-robotwin2,A-D1,imgtext,75,0.439020,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-D1,imgtext,75,0.425125,50.38,,50.38
abot-m0-robotwin2,A-D1,imgtext,75,0.433527,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-D1,,110,0.029071,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-D1,,110,0.064855,88.7,87.0,87.85
xvla-robotwin2,A-D1,imgtext,110,0.437935,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-D1,imgtext,110,0.426385,50.38,,50.38
abot-m0-robotwin2,A-D1,imgtext,110,0.439388,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-D1,,150,0.026891,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-D1,,150,0.060262,88.7,87.0,87.85
xvla-robotwin2,A-D1,imgtext,150,0.423665,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-D1,imgtext,150,0.409780,50.38,,50.38
abot-m0-robotwin2,A-D1,imgtext,150,0.421935,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-D1,,220,0.029674,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-D1,,220,0.056860,88.7,87.0,87.85
xvla-robotwin2,A-D1,imgtext,220,0.399408,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-D1,imgtext,220,0.381127,50.38,,50.38
abot-m0-robotwin2,A-D1,imgtext,220,0.398458,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B0,,1,0.029303,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B0,,1,0.069533,88.7,87.0,87.85
xvla-robotwin2,A-B0,imgtext,1,0.469821,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B0,imgtext,1,0.420960,50.38,,50.38
abot-m0-robotwin2,A-B0,imgtext,1,0.429929,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B0,,3,0.027734,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B0,,3,0.067724,88.7,87.0,87.85
xvla-robotwin2,A-B0,imgtext,3,0.468762,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B0,imgtext,3,0.419963,50.38,,50.38
abot-m0-robotwin2,A-B0,imgtext,3,0.430427,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B0,,7,0.028982,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B0,,7,0.067743,88.7,87.0,87.85
xvla-robotwin2,A-B0,imgtext,7,0.470188,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B0,imgtext,7,0.423339,50.38,,50.38
abot-m0-robotwin2,A-B0,imgtext,7,0.429285,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B0,,15,0.032366,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B0,,15,0.069113,88.7,87.0,87.85
xvla-robotwin2,A-B0,imgtext,15,0.470652,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B0,imgtext,15,0.424305,50.38,,50.38
abot-m0-robotwin2,A-B0,imgtext,15,0.433871,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B0,,25,0.035837,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B0,,25,0.068950,88.7,87.0,87.85
xvla-robotwin2,A-B0,imgtext,25,0.467989,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B0,imgtext,25,0.428913,50.38,,50.38
abot-m0-robotwin2,A-B0,imgtext,25,0.435674,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B0,,40,0.036741,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B0,,40,0.064423,88.7,87.0,87.85
xvla-robotwin2,A-B0,imgtext,40,0.462332,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B0,imgtext,40,0.431613,50.38,,50.38
abot-m0-robotwin2,A-B0,imgtext,40,0.432660,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B0,,75,0.037306,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B0,,75,0.067537,88.7,87.0,87.85
xvla-robotwin2,A-B0,imgtext,75,0.439020,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B0,imgtext,75,0.425125,50.38,,50.38
abot-m0-robotwin2,A-B0,imgtext,75,0.433527,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B0,,110,0.037901,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B0,,110,0.066260,88.7,87.0,87.85
xvla-robotwin2,A-B0,imgtext,110,0.437935,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B0,imgtext,110,0.426385,50.38,,50.38
abot-m0-robotwin2,A-B0,imgtext,110,0.439388,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B0,,150,0.036050,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B0,,150,0.062013,88.7,87.0,87.85
xvla-robotwin2,A-B0,imgtext,150,0.423665,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B0,imgtext,150,0.409780,50.38,,50.38
abot-m0-robotwin2,A-B0,imgtext,150,0.421935,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B0,,220,0.037267,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B0,,220,0.058595,88.7,87.0,87.85
xvla-robotwin2,A-B0,imgtext,220,0.399408,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B0,imgtext,220,0.381127,50.38,,50.38
abot-m0-robotwin2,A-B0,imgtext,220,0.398458,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B7,,1,0.043546,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B7,,1,0.069625,88.7,87.0,87.85
xvla-robotwin2,A-B7,imgtext,1,0.469821,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B7,imgtext,1,0.420960,50.38,,50.38
abot-m0-robotwin2,A-B7,imgtext,1,0.429929,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B7,,3,0.044083,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B7,,3,0.067393,88.7,87.0,87.85
xvla-robotwin2,A-B7,imgtext,3,0.468762,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B7,imgtext,3,0.419963,50.38,,50.38
abot-m0-robotwin2,A-B7,imgtext,3,0.430427,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B7,,7,0.044919,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B7,,7,0.066192,88.7,87.0,87.85
xvla-robotwin2,A-B7,imgtext,7,0.470188,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B7,imgtext,7,0.423339,50.38,,50.38
abot-m0-robotwin2,A-B7,imgtext,7,0.429285,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B7,,15,0.047968,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B7,,15,0.067169,88.7,87.0,87.85
xvla-robotwin2,A-B7,imgtext,15,0.470652,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B7,imgtext,15,0.424305,50.38,,50.38
abot-m0-robotwin2,A-B7,imgtext,15,0.433871,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B7,,25,0.048855,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B7,,25,0.067837,88.7,87.0,87.85
xvla-robotwin2,A-B7,imgtext,25,0.467989,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B7,imgtext,25,0.428913,50.38,,50.38
abot-m0-robotwin2,A-B7,imgtext,25,0.435674,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B7,,40,0.049290,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B7,,40,0.064458,88.7,87.0,87.85
xvla-robotwin2,A-B7,imgtext,40,0.462332,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B7,imgtext,40,0.431613,50.38,,50.38
abot-m0-robotwin2,A-B7,imgtext,40,0.432660,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B7,,75,0.052080,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B7,,75,0.065672,88.7,87.0,87.85
xvla-robotwin2,A-B7,imgtext,75,0.439020,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B7,imgtext,75,0.425125,50.38,,50.38
abot-m0-robotwin2,A-B7,imgtext,75,0.433527,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B7,,110,0.054817,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B7,,110,0.063971,88.7,87.0,87.85
xvla-robotwin2,A-B7,imgtext,110,0.437935,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B7,imgtext,110,0.426385,50.38,,50.38
abot-m0-robotwin2,A-B7,imgtext,110,0.439388,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B7,,150,0.053225,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B7,,150,0.060075,88.7,87.0,87.85
xvla-robotwin2,A-B7,imgtext,150,0.423665,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B7,imgtext,150,0.409780,50.38,,50.38
abot-m0-robotwin2,A-B7,imgtext,150,0.421935,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B7,,220,0.050385,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B7,,220,0.056219,88.7,87.0,87.85
xvla-robotwin2,A-B7,imgtext,220,0.399408,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B7,imgtext,220,0.381127,50.38,,50.38
abot-m0-robotwin2,A-B7,imgtext,220,0.398458,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B14,,1,0.049056,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B14,,1,0.075170,88.7,87.0,87.85
xvla-robotwin2,A-B14,imgtext,1,0.469821,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B14,imgtext,1,0.420960,50.38,,50.38
abot-m0-robotwin2,A-B14,imgtext,1,0.429929,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B14,,3,0.049197,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B14,,3,0.073358,88.7,87.0,87.85
xvla-robotwin2,A-B14,imgtext,3,0.468762,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B14,imgtext,3,0.419963,50.38,,50.38
abot-m0-robotwin2,A-B14,imgtext,3,0.430427,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B14,,7,0.050036,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B14,,7,0.072573,88.7,87.0,87.85
xvla-robotwin2,A-B14,imgtext,7,0.470188,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B14,imgtext,7,0.423339,50.38,,50.38
abot-m0-robotwin2,A-B14,imgtext,7,0.429285,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B14,,15,0.049717,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B14,,15,0.072756,88.7,87.0,87.85
xvla-robotwin2,A-B14,imgtext,15,0.470652,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B14,imgtext,15,0.424305,50.38,,50.38
abot-m0-robotwin2,A-B14,imgtext,15,0.433871,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B14,,25,0.050991,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B14,,25,0.072987,88.7,87.0,87.85
xvla-robotwin2,A-B14,imgtext,25,0.467989,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B14,imgtext,25,0.428913,50.38,,50.38
abot-m0-robotwin2,A-B14,imgtext,25,0.435674,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B14,,40,0.049715,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B14,,40,0.070777,88.7,87.0,87.85
xvla-robotwin2,A-B14,imgtext,40,0.462332,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B14,imgtext,40,0.431613,50.38,,50.38
abot-m0-robotwin2,A-B14,imgtext,40,0.432660,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B14,,75,0.050064,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B14,,75,0.072672,88.7,87.0,87.85
xvla-robotwin2,A-B14,imgtext,75,0.439020,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B14,imgtext,75,0.425125,50.38,,50.38
abot-m0-robotwin2,A-B14,imgtext,75,0.433527,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B14,,110,0.056023,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B14,,110,0.071004,88.7,87.0,87.85
xvla-robotwin2,A-B14,imgtext,110,0.437935,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B14,imgtext,110,0.426385,50.38,,50.38
abot-m0-robotwin2,A-B14,imgtext,110,0.439388,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B14,,150,0.052000,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B14,,150,0.065891,88.7,87.0,87.85
xvla-robotwin2,A-B14,imgtext,150,0.423665,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B14,imgtext,150,0.409780,50.38,,50.38
abot-m0-robotwin2,A-B14,imgtext,150,0.421935,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B14,,220,0.047549,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B14,,220,0.060862,88.7,87.0,87.85
xvla-robotwin2,A-B14,imgtext,220,0.399408,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B14,imgtext,220,0.381127,50.38,,50.38
abot-m0-robotwin2,A-B14,imgtext,220,0.398458,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B21,,1,0.044257,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B21,,1,0.074900,88.7,87.0,87.85
xvla-robotwin2,A-B21,imgtext,1,0.469821,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B21,imgtext,1,0.420960,50.38,,50.38
abot-m0-robotwin2,A-B21,imgtext,1,0.429929,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B21,,3,0.043098,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B21,,3,0.072970,88.7,87.0,87.85
xvla-robotwin2,A-B21,imgtext,3,0.468762,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B21,imgtext,3,0.419963,50.38,,50.38
abot-m0-robotwin2,A-B21,imgtext,3,0.430427,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B21,,7,0.044811,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B21,,7,0.073013,88.7,87.0,87.85
xvla-robotwin2,A-B21,imgtext,7,0.470188,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B21,imgtext,7,0.423339,50.38,,50.38
abot-m0-robotwin2,A-B21,imgtext,7,0.429285,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B21,,15,0.044507,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B21,,15,0.074475,88.7,87.0,87.85
xvla-robotwin2,A-B21,imgtext,15,0.470652,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B21,imgtext,15,0.424305,50.38,,50.38
abot-m0-robotwin2,A-B21,imgtext,15,0.433871,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B21,,25,0.045417,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B21,,25,0.074722,88.7,87.0,87.85
xvla-robotwin2,A-B21,imgtext,25,0.467989,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B21,imgtext,25,0.428913,50.38,,50.38
abot-m0-robotwin2,A-B21,imgtext,25,0.435674,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B21,,40,0.046271,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B21,,40,0.073653,88.7,87.0,87.85
xvla-robotwin2,A-B21,imgtext,40,0.462332,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B21,imgtext,40,0.431613,50.38,,50.38
abot-m0-robotwin2,A-B21,imgtext,40,0.432660,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B21,,75,0.045867,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B21,,75,0.073172,88.7,87.0,87.85
xvla-robotwin2,A-B21,imgtext,75,0.439020,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B21,imgtext,75,0.425125,50.38,,50.38
abot-m0-robotwin2,A-B21,imgtext,75,0.433527,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B21,,110,0.048149,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B21,,110,0.069317,88.7,87.0,87.85
xvla-robotwin2,A-B21,imgtext,110,0.437935,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B21,imgtext,110,0.426385,50.38,,50.38
abot-m0-robotwin2,A-B21,imgtext,110,0.439388,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B21,,150,0.045764,92.9,91.6,92.25
motus-robotwin2-aloha-native,A-B21,,150,0.068483,88.7,87.0,87.85
xvla-robotwin2,A-B21,imgtext,150,0.423665,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,A-B21,imgtext,150,0.409780,50.38,,50.38
abot-m0-robotwin2,A-B21,imgtext,150,0.421935,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B21,,220,0.045375,92.9,91.6,92.25
