model,feature_source,vlm_variant_used,horizon,cknna_k10,robotwin_sr_easy,robotwin_sr_hard,robotwin_sr_avg
abot-m0-robotwin2,V-B0,imgtext,7,0.429285,80.42,81.16,80.79
vidar_aloha_native,V-B0,,7,0.072017,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B0,,15,0.143156,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B0,,15,0.128514,88.7,87.0,87.85
xvla-robotwin2,V-B0,imgtext,15,0.470652,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B0,imgtext,15,0.424305,50.38,,50.38
abot-m0-robotwin2,V-B0,imgtext,15,0.433871,80.42,81.16,80.79
vidar_aloha_native,V-B0,,15,0.075102,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B0,,25,0.146322,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B0,,25,0.133655,88.7,87.0,87.85
xvla-robotwin2,V-B0,imgtext,25,0.467989,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B0,imgtext,25,0.428913,50.38,,50.38
abot-m0-robotwin2,V-B0,imgtext,25,0.435674,80.42,81.16,80.79
vidar_aloha_native,V-B0,,25,0.072994,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B0,,40,0.144226,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B0,,40,0.131318,88.7,87.0,87.85
xvla-robotwin2,V-B0,imgtext,40,0.462332,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B0,imgtext,40,0.431613,50.38,,50.38
abot-m0-robotwin2,V-B0,imgtext,40,0.432660,80.42,81.16,80.79
vidar_aloha_native,V-B0,,40,0.075673,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B0,,75,0.139809,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B0,,75,0.133556,88.7,87.0,87.85
xvla-robotwin2,V-B0,imgtext,75,0.439020,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B0,imgtext,75,0.425125,50.38,,50.38
abot-m0-robotwin2,V-B0,imgtext,75,0.433527,80.42,81.16,80.79
vidar_aloha_native,V-B0,,75,0.079546,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B0,,110,0.140365,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B0,,110,0.129180,88.7,87.0,87.85
xvla-robotwin2,V-B0,imgtext,110,0.437935,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B0,imgtext,110,0.426385,50.38,,50.38
abot-m0-robotwin2,V-B0,imgtext,110,0.439388,80.42,81.16,80.79
vidar_aloha_native,V-B0,,110,0.080225,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B0,,150,0.136388,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B0,,150,0.126475,88.7,87.0,87.85
xvla-robotwin2,V-B0,imgtext,150,0.423665,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B0,imgtext,150,0.409780,50.38,,50.38
abot-m0-robotwin2,V-B0,imgtext,150,0.421935,80.42,81.16,80.79
vidar_aloha_native,V-B0,,150,0.082985,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B0,,220,0.124698,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B0,,220,0.126208,88.7,87.0,87.85
xvla-robotwin2,V-B0,imgtext,220,0.399408,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B0,imgtext,220,0.381127,50.38,,50.38
abot-m0-robotwin2,V-B0,imgtext,220,0.398458,80.42,81.16,80.79
vidar_aloha_native,V-B0,,220,0.077466,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B7,,1,0.168959,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B7,,1,0.167912,88.7,87.0,87.85
xvla-robotwin2,V-B7,imgtext,1,0.469821,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B7,imgtext,1,0.420960,50.38,,50.38
abot-m0-robotwin2,V-B7,imgtext,1,0.429929,80.42,81.16,80.79
vidar_aloha_native,V-B7,,1,0.090922,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B7,,3,0.169047,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B7,,3,0.166817,88.7,87.0,87.85
xvla-robotwin2,V-B7,imgtext,3,0.468762,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B7,imgtext,3,0.419963,50.38,,50.38
abot-m0-robotwin2,V-B7,imgtext,3,0.430427,80.42,81.16,80.79
vidar_aloha_native,V-B7,,3,0.092114,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B7,,7,0.171479,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B7,,7,0.167236,88.7,87.0,87.85
xvla-robotwin2,V-B7,imgtext,7,0.470188,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B7,imgtext,7,0.423339,50.38,,50.38
abot-m0-robotwin2,V-B7,imgtext,7,0.429285,80.42,81.16,80.79
vidar_aloha_native,V-B7,,7,0.096880,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B7,,15,0.169906,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B7,,15,0.164073,88.7,87.0,87.85
xvla-robotwin2,V-B7,imgtext,15,0.470652,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B7,imgtext,15,0.424305,50.38,,50.38
abot-m0-robotwin2,V-B7,imgtext,15,0.433871,80.42,81.16,80.79
vidar_aloha_native,V-B7,,15,0.099013,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B7,,25,0.171306,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B7,,25,0.163871,88.7,87.0,87.85
xvla-robotwin2,V-B7,imgtext,25,0.467989,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B7,imgtext,25,0.428913,50.38,,50.38
abot-m0-robotwin2,V-B7,imgtext,25,0.435674,80.42,81.16,80.79
vidar_aloha_native,V-B7,,25,0.102849,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B7,,40,0.169794,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B7,,40,0.164383,88.7,87.0,87.85
xvla-robotwin2,V-B7,imgtext,40,0.462332,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B7,imgtext,40,0.431613,50.38,,50.38
abot-m0-robotwin2,V-B7,imgtext,40,0.432660,80.42,81.16,80.79
vidar_aloha_native,V-B7,,40,0.100999,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B7,,75,0.166101,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B7,,75,0.163002,88.7,87.0,87.85
xvla-robotwin2,V-B7,imgtext,75,0.439020,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B7,imgtext,75,0.425125,50.38,,50.38
abot-m0-robotwin2,V-B7,imgtext,75,0.433527,80.42,81.16,80.79
vidar_aloha_native,V-B7,,75,0.101589,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B7,,110,0.168281,92.9,91.6,92.25
motus-robotwin2-aloha-native,V-B7,,110,0.159458,88.7,87.0,87.85
xvla-robotwin2,V-B7,imgtext,110,0.437935,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2-aloha,V-B7,imgtext,110,0.426385,50.38,,50.38
abot-m0-robotwin2,V-B7,imgtext,110,0.439388,80.42,81.16,80.79
vidar_aloha_native,V-B7,,110,0.099589,65.8,17.5,41.65
