model,k,horizon,cknna,success_rate
Qwen-GR00T-Bridge,15,1,0.036769,71.4
Qwen-GR00T-Bridge,15,3,0.036859,71.4
Qwen-GR00T-Bridge,15,7,0.038443,71.4
Qwen-GR00T-Bridge,15,15,0.041074,71.4
Qwen-GR00T-Bridge,15,25,0.043782,71.4
Qwen-GR00T-Bridge,15,40,0.051445,71.4
Qwen-GR00T-Bridge-RT-1,15,1,0.036649,63.6
Qwen-GR00T-Bridge-RT-1,15,3,0.036502,63.6
Qwen-GR00T-Bridge-RT-1,15,7,0.037552,63.6
Qwen-GR00T-Bridge-RT-1,15,15,0.040756,63.6
Qwen-GR00T-Bridge-RT-1,15,25,0.042162,63.6
Qwen-GR00T-Bridge-RT-1,15,40,0.049097,63.6
Qwen-OFT-Bridge-RT-1,15,1,0.023868,44.2
Qwen-OFT-Bridge-RT-1,15,3,0.024435,44.2
Qwen-OFT-Bridge-RT-1,15,7,0.025629,44.2
Qwen-OFT-Bridge-RT-1,15,15,0.027951,44.2
Qwen-OFT-Bridge-RT-1,15,25,0.030189,44.2
Qwen-OFT-Bridge-RT-1,15,40,0.036338,44.2
Qwen3VL-GR00T-Bridge-RT-1,15,1,0.028564,65.3
Qwen3VL-GR00T-Bridge-RT-1,15,3,0.028574,65.3
Qwen3VL-GR00T-Bridge-RT-1,15,7,0.030386,65.3
Qwen3VL-GR00T-Bridge-RT-1,15,15,0.033085,65.3
Qwen3VL-GR00T-Bridge-RT-1,15,25,0.03569,65.3
Qwen3VL-GR00T-Bridge-RT-1,15,40,0.04335,65.3
Qwen3VL-OFT-Bridge-RT-1,15,1,0.025645,42.7
Qwen3VL-OFT-Bridge-RT-1,15,3,0.025773,42.7
Qwen3VL-OFT-Bridge-RT-1,15,7,0.027287,42.7
Qwen3VL-OFT-Bridge-RT-1,15,15,0.029783,42.7
Qwen3VL-OFT-Bridge-RT-1,15,25,0.031453,42.7
Qwen3VL-OFT-Bridge-RT-1,15,40,0.038874,42.7
cogact-small-bridge,15,1,0.033037,51.0
cogact-small-bridge,15,3,0.033169,51.0
cogact-small-bridge,15,7,0.034818,51.0
cogact-small-bridge,15,15,0.038062,51.0
cogact-small-bridge,15,25,0.040094,51.0
cogact-small-bridge,15,40,0.047405,51.0
cogact-base-bridge,15,1,0.033252,51.3
cogact-base-bridge,15,3,0.033822,51.3
cogact-base-bridge,15,7,0.035308,51.3
cogact-base-bridge,15,15,0.038413,51.3
cogact-base-bridge,15,25,0.04157,51.3
cogact-base-bridge,15,40,0.049843,51.3
cogact-large-bridge,15,1,0.033331,58.3
cogact-large-bridge,15,3,0.033362,58.3
cogact-large-bridge,15,7,0.035079,58.3
cogact-large-bridge,15,15,0.038359,58.3
cogact-large-bridge,15,25,0.040874,58.3
cogact-large-bridge,15,40,0.049507,58.3
spatialvla-sft-bridge,15,1,0.021893,42.7
spatialvla-sft-bridge,15,3,0.021964,42.7
spatialvla-sft-bridge,15,7,0.022848,42.7
spatialvla-sft-bridge,15,15,0.024615,42.7
spatialvla-sft-bridge,15,25,0.026936,42.7
spatialvla-sft-bridge,15,40,0.03306,42.7
pi0-lerobot-bridge,15,1,0.01658,47.9
pi0-lerobot-bridge,15,3,0.016745,47.9
pi0-lerobot-bridge,15,7,0.017811,47.9
pi0-lerobot-bridge,15,15,0.019533,47.9
pi0-lerobot-bridge,15,25,0.021347,47.9
pi0-lerobot-bridge,15,40,0.025057,47.9
groot-n15-bridge,15,1,0.024146,36.5
groot-n15-bridge,15,3,0.024447,36.5
groot-n15-bridge,15,7,0.026326,36.5
groot-n15-bridge,15,15,0.02838,36.5
groot-n15-bridge,15,25,0.031275,36.5
groot-n15-bridge,15,40,0.037185,36.5
groot-n16-bridge,15,1,0.025017,57.1
groot-n16-bridge,15,3,0.025724,57.1
groot-n16-bridge,15,7,0.027135,57.1
groot-n16-bridge,15,15,0.029401,57.1
groot-n16-bridge,15,25,0.031879,57.1
groot-n16-bridge,15,40,0.03901,57.1
