model,k,horizon,cknna,success_rate
Qwen-GR00T-Bridge,20,1,0.036934,71.4
Qwen-GR00T-Bridge,20,3,0.038108,71.4
Qwen-GR00T-Bridge,20,7,0.038429,71.4
Qwen-GR00T-Bridge,20,15,0.040827,71.4
Qwen-GR00T-Bridge,20,25,0.044282,71.4
Qwen-GR00T-Bridge,20,40,0.050769,71.4
Qwen-GR00T-Bridge-RT-1,20,1,0.03752,63.6
Qwen-GR00T-Bridge-RT-1,20,3,0.038772,63.6
Qwen-GR00T-Bridge-RT-1,20,7,0.039221,63.6
Qwen-GR00T-Bridge-RT-1,20,15,0.041668,63.6
Qwen-GR00T-Bridge-RT-1,20,25,0.044057,63.6
Qwen-GR00T-Bridge-RT-1,20,40,0.049046,63.6
Qwen-OFT-Bridge-RT-1,20,1,0.024322,44.2
Qwen-OFT-Bridge-RT-1,20,3,0.025372,44.2
Qwen-OFT-Bridge-RT-1,20,7,0.025644,44.2
Qwen-OFT-Bridge-RT-1,20,15,0.028209,44.2
Qwen-OFT-Bridge-RT-1,20,25,0.03095,44.2
Qwen-OFT-Bridge-RT-1,20,40,0.037214,44.2
Qwen3VL-GR00T-Bridge-RT-1,20,1,0.02903,65.3
Qwen3VL-GR00T-Bridge-RT-1,20,3,0.029968,65.3
Qwen3VL-GR00T-Bridge-RT-1,20,7,0.03057,65.3
Qwen3VL-GR00T-Bridge-RT-1,20,15,0.033238,65.3
Qwen3VL-GR00T-Bridge-RT-1,20,25,0.03645,65.3
Qwen3VL-GR00T-Bridge-RT-1,20,40,0.043673,65.3
Qwen3VL-OFT-Bridge-RT-1,20,1,0.026542,42.7
Qwen3VL-OFT-Bridge-RT-1,20,3,0.027444,42.7
Qwen3VL-OFT-Bridge-RT-1,20,7,0.02785,42.7
Qwen3VL-OFT-Bridge-RT-1,20,15,0.030388,42.7
Qwen3VL-OFT-Bridge-RT-1,20,25,0.032879,42.7
Qwen3VL-OFT-Bridge-RT-1,20,40,0.039678,42.7
cogact-small-bridge,20,1,0.033571,51.0
cogact-small-bridge,20,3,0.034541,51.0
cogact-small-bridge,20,7,0.035428,51.0
cogact-small-bridge,20,15,0.037794,51.0
cogact-small-bridge,20,25,0.040733,51.0
cogact-small-bridge,20,40,0.047262,51.0
cogact-base-bridge,20,1,0.03429,51.3
cogact-base-bridge,20,3,0.035401,51.3
cogact-base-bridge,20,7,0.036431,51.3
cogact-base-bridge,20,15,0.038988,51.3
cogact-base-bridge,20,25,0.042645,51.3
cogact-base-bridge,20,40,0.049118,51.3
cogact-large-bridge,20,1,0.034367,58.3
cogact-large-bridge,20,3,0.035465,58.3
cogact-large-bridge,20,7,0.03644,58.3
cogact-large-bridge,20,15,0.038717,58.3
cogact-large-bridge,20,25,0.042207,58.3
cogact-large-bridge,20,40,0.048749,58.3
spatialvla-sft-bridge,20,1,0.022781,42.7
spatialvla-sft-bridge,20,3,0.023228,42.7
spatialvla-sft-bridge,20,7,0.023909,42.7
spatialvla-sft-bridge,20,15,0.025535,42.7
spatialvla-sft-bridge,20,25,0.028535,42.7
spatialvla-sft-bridge,20,40,0.034148,42.7
pi0-lerobot-bridge,20,1,0.016895,47.9
pi0-lerobot-bridge,20,3,0.017385,47.9
pi0-lerobot-bridge,20,7,0.017824,47.9
pi0-lerobot-bridge,20,15,0.019339,47.9
pi0-lerobot-bridge,20,25,0.021312,47.9
pi0-lerobot-bridge,20,40,0.024548,47.9
groot-n15-bridge,20,1,0.025089,36.5
groot-n15-bridge,20,3,0.026129,36.5
groot-n15-bridge,20,7,0.027175,36.5
groot-n15-bridge,20,15,0.028656,36.5
groot-n15-bridge,20,25,0.031714,36.5
groot-n15-bridge,20,40,0.037685,36.5
groot-n16-bridge,20,1,0.02669,57.1
groot-n16-bridge,20,3,0.027285,57.1
groot-n16-bridge,20,7,0.02823,57.1
groot-n16-bridge,20,15,0.030441,57.1
groot-n16-bridge,20,25,0.033342,57.1
groot-n16-bridge,20,40,0.04049,57.1
