model,k,horizon,cknna,success_rate
Qwen-GR00T-Bridge,10,1,0.034491,71.4
Qwen-GR00T-Bridge,10,3,0.034488,71.4
Qwen-GR00T-Bridge,10,7,0.036336,71.4
Qwen-GR00T-Bridge,10,15,0.039577,71.4
Qwen-GR00T-Bridge,10,25,0.043279,71.4
Qwen-GR00T-Bridge,10,40,0.050962,71.4
Qwen-GR00T-Bridge-RT-1,10,1,0.034262,63.6
Qwen-GR00T-Bridge-RT-1,10,3,0.034206,63.6
Qwen-GR00T-Bridge-RT-1,10,7,0.035318,63.6
Qwen-GR00T-Bridge-RT-1,10,15,0.039541,63.6
Qwen-GR00T-Bridge-RT-1,10,25,0.042155,63.6
Qwen-GR00T-Bridge-RT-1,10,40,0.04838,63.6
Qwen-OFT-Bridge-RT-1,10,1,0.023673,44.2
Qwen-OFT-Bridge-RT-1,10,3,0.023206,44.2
Qwen-OFT-Bridge-RT-1,10,7,0.024196,44.2
Qwen-OFT-Bridge-RT-1,10,15,0.027597,44.2
Qwen-OFT-Bridge-RT-1,10,25,0.029595,44.2
Qwen-OFT-Bridge-RT-1,10,40,0.035877,44.2
Qwen3VL-GR00T-Bridge-RT-1,10,1,0.027616,65.3
Qwen3VL-GR00T-Bridge-RT-1,10,3,0.027458,65.3
Qwen3VL-GR00T-Bridge-RT-1,10,7,0.029174,65.3
Qwen3VL-GR00T-Bridge-RT-1,10,15,0.032236,65.3
Qwen3VL-GR00T-Bridge-RT-1,10,25,0.035672,65.3
Qwen3VL-GR00T-Bridge-RT-1,10,40,0.043746,65.3
Qwen3VL-OFT-Bridge-RT-1,10,1,0.024135,42.7
Qwen3VL-OFT-Bridge-RT-1,10,3,0.024463,42.7
Qwen3VL-OFT-Bridge-RT-1,10,7,0.025381,42.7
Qwen3VL-OFT-Bridge-RT-1,10,15,0.028875,42.7
Qwen3VL-OFT-Bridge-RT-1,10,25,0.031064,42.7
Qwen3VL-OFT-Bridge-RT-1,10,40,0.037541,42.7
cogact-small-bridge,10,1,0.030503,51.0
cogact-small-bridge,10,3,0.030533,51.0
cogact-small-bridge,10,7,0.031852,51.0
cogact-small-bridge,10,15,0.035803,51.0
cogact-small-bridge,10,25,0.039613,51.0
cogact-small-bridge,10,40,0.046986,51.0
cogact-base-bridge,10,1,0.030926,51.3
cogact-base-bridge,10,3,0.03074,51.3
cogact-base-bridge,10,7,0.032419,51.3
cogact-base-bridge,10,15,0.036709,51.3
cogact-base-bridge,10,25,0.040393,51.3
cogact-base-bridge,10,40,0.048586,51.3
cogact-large-bridge,10,1,0.031475,58.3
cogact-large-bridge,10,3,0.031335,58.3
cogact-large-bridge,10,7,0.032802,58.3
cogact-large-bridge,10,15,0.036592,58.3
cogact-large-bridge,10,25,0.039894,58.3
cogact-large-bridge,10,40,0.048016,58.3
spatialvla-sft-bridge,10,1,0.021064,42.7
spatialvla-sft-bridge,10,3,0.021507,42.7
spatialvla-sft-bridge,10,7,0.02173,42.7
spatialvla-sft-bridge,10,15,0.024208,42.7
spatialvla-sft-bridge,10,25,0.026031,42.7
spatialvla-sft-bridge,10,40,0.032943,42.7
pi0-lerobot-bridge,10,1,0.016559,47.9
pi0-lerobot-bridge,10,3,0.016817,47.9
pi0-lerobot-bridge,10,7,0.017397,47.9
pi0-lerobot-bridge,10,15,0.020072,47.9
pi0-lerobot-bridge,10,25,0.021649,47.9
pi0-lerobot-bridge,10,40,0.025493,47.9
groot-n15-bridge,10,1,0.023127,36.5
groot-n15-bridge,10,3,0.022753,36.5
groot-n15-bridge,10,7,0.024013,36.5
groot-n15-bridge,10,15,0.02696,36.5
groot-n15-bridge,10,25,0.029794,36.5
groot-n15-bridge,10,40,0.035626,36.5
groot-n16-bridge,10,1,0.023462,57.1
groot-n16-bridge,10,3,0.023554,57.1
groot-n16-bridge,10,7,0.025535,57.1
groot-n16-bridge,10,15,0.028902,57.1
groot-n16-bridge,10,25,0.03114,57.1
groot-n16-bridge,10,40,0.038408,57.1
