model,k,horizon,cknna,success_rate
Qwen-GR00T-Bridge,5,1,0.033234,71.4
Qwen-GR00T-Bridge,5,3,0.033393,71.4
Qwen-GR00T-Bridge,5,7,0.032875,71.4
Qwen-GR00T-Bridge,5,15,0.03755,71.4
Qwen-GR00T-Bridge,5,25,0.043383,71.4
Qwen-GR00T-Bridge,5,40,0.050369,71.4
Qwen-GR00T-Bridge-RT-1,5,1,0.032773,63.6
Qwen-GR00T-Bridge-RT-1,5,3,0.032891,63.6
Qwen-GR00T-Bridge-RT-1,5,7,0.033584,63.6
Qwen-GR00T-Bridge-RT-1,5,15,0.037784,63.6
Qwen-GR00T-Bridge-RT-1,5,25,0.043278,63.6
Qwen-GR00T-Bridge-RT-1,5,40,0.04947,63.6
Qwen-OFT-Bridge-RT-1,5,1,0.020675,44.2
Qwen-OFT-Bridge-RT-1,5,3,0.021599,44.2
Qwen-OFT-Bridge-RT-1,5,7,0.022764,44.2
Qwen-OFT-Bridge-RT-1,5,15,0.025881,44.2
Qwen-OFT-Bridge-RT-1,5,25,0.028556,44.2
Qwen-OFT-Bridge-RT-1,5,40,0.035026,44.2
Qwen3VL-GR00T-Bridge-RT-1,5,1,0.025779,65.3
Qwen3VL-GR00T-Bridge-RT-1,5,3,0.025406,65.3
Qwen3VL-GR00T-Bridge-RT-1,5,7,0.025262,65.3
Qwen3VL-GR00T-Bridge-RT-1,5,15,0.030646,65.3
Qwen3VL-GR00T-Bridge-RT-1,5,25,0.035325,65.3
Qwen3VL-GR00T-Bridge-RT-1,5,40,0.043076,65.3
Qwen3VL-OFT-Bridge-RT-1,5,1,0.021155,42.7
Qwen3VL-OFT-Bridge-RT-1,5,3,0.021227,42.7
Qwen3VL-OFT-Bridge-RT-1,5,7,0.022244,42.7
Qwen3VL-OFT-Bridge-RT-1,5,15,0.02581,42.7
Qwen3VL-OFT-Bridge-RT-1,5,25,0.029834,42.7
Qwen3VL-OFT-Bridge-RT-1,5,40,0.035815,42.7
cogact-small-bridge,5,1,0.029976,51.0
cogact-small-bridge,5,3,0.030434,51.0
cogact-small-bridge,5,7,0.03047,51.0
cogact-small-bridge,5,15,0.035571,51.0
cogact-small-bridge,5,25,0.040993,51.0
cogact-small-bridge,5,40,0.047794,51.0
cogact-base-bridge,5,1,0.029865,51.3
cogact-base-bridge,5,3,0.030189,51.3
cogact-base-bridge,5,7,0.030489,51.3
cogact-base-bridge,5,15,0.035548,51.3
cogact-base-bridge,5,25,0.040855,51.3
cogact-base-bridge,5,40,0.048046,51.3
cogact-large-bridge,5,1,0.030288,58.3
cogact-large-bridge,5,3,0.030984,58.3
cogact-large-bridge,5,7,0.030304,58.3
cogact-large-bridge,5,15,0.036178,58.3
cogact-large-bridge,5,25,0.040755,58.3
cogact-large-bridge,5,40,0.047955,58.3
spatialvla-sft-bridge,5,1,0.019504,42.7
spatialvla-sft-bridge,5,3,0.018622,42.7
spatialvla-sft-bridge,5,7,0.017743,42.7
spatialvla-sft-bridge,5,15,0.020745,42.7
spatialvla-sft-bridge,5,25,0.023959,42.7
spatialvla-sft-bridge,5,40,0.028979,42.7
pi0-lerobot-bridge,5,1,0.015926,47.9
pi0-lerobot-bridge,5,3,0.015972,47.9
pi0-lerobot-bridge,5,7,0.016309,47.9
pi0-lerobot-bridge,5,15,0.019641,47.9
pi0-lerobot-bridge,5,25,0.021563,47.9
pi0-lerobot-bridge,5,40,0.026714,47.9
groot-n15-bridge,5,1,0.020862,36.5
groot-n15-bridge,5,3,0.019899,36.5
groot-n15-bridge,5,7,0.020167,36.5
groot-n15-bridge,5,15,0.024824,36.5
groot-n15-bridge,5,25,0.02868,36.5
groot-n15-bridge,5,40,0.035404,36.5
groot-n16-bridge,5,1,0.019569,57.1
groot-n16-bridge,5,3,0.019614,57.1
groot-n16-bridge,5,7,0.020342,57.1
groot-n16-bridge,5,15,0.024722,57.1
groot-n16-bridge,5,25,0.029332,57.1
groot-n16-bridge,5,40,0.035092,57.1
