model,feature,step_pct,cknna,cos_dist,n_eps,n_with_feat,random_mean,random_std
motus,V-D1,0,0.041575830429792404,0.021119100973010063,500,500,0.012378301471471786,0.0017764515065016094
motus,V-D1,25,0.09003101289272308,0.013025961816310883,500,500,0.012378301471471786,0.0017764515065016094
motus,V-D1,50,0.25833746790885925,0.013507604598999023,500,500,0.012378301471471786,0.0017764515065016094
motus,V-D1,75,0.31153878569602966,0.016798194497823715,500,500,0.012378301471471786,0.0017764515065016094
motus,V-D1,100,0.3123296797275543,0.018883179873228073,500,500,0.012378301471471786,0.0017764515065016094
motus,V-B0,0,0.044066037982702255,0.00016152147145476192,500,500,0.012378301471471786,0.0017764515065016094
motus,V-B0,25,0.20269371569156647,0.0003974775900132954,500,500,0.012378301471471786,0.0017764515065016094
motus,V-B0,50,0.30711203813552856,0.0007442593923769891,500,500,0.012378301471471786,0.0017764515065016094
motus,V-B0,75,0.32056188583374023,0.0019417830044403672,500,500,0.012378301471471786,0.0017764515065016094
motus,V-B0,100,0.3236728012561798,0.003817084012553096,500,500,0.012378301471471786,0.0017764515065016094
motus,V-B7,0,0.3416878581047058,0.0032194764353334904,500,500,0.012378301471471786,0.0017764515065016094
motus,V-B7,25,0.38829249143600464,0.005340199451893568,500,500,0.012378301471471786,0.0017764515065016094
motus,V-B7,50,0.39942046999931335,0.005748206749558449,500,500,0.012378301471471786,0.0017764515065016094
motus,V-B7,75,0.39043989777565,0.006870684679597616,500,500,0.012378301471471786,0.0017764515065016094
motus,V-B7,100,0.3784339129924774,0.007246611174196005,500,500,0.012378301471471786,0.0017764515065016094
motus,V-B14,0,0.4786984622478485,0.010421250946819782,500,500,0.012378301471471786,0.0017764515065016094
motus,V-B14,25,0.4919299781322479,0.009464430622756481,500,500,0.012378301471471786,0.0017764515065016094
motus,V-B14,50,0.48152396082878113,0.009401245974004269,500,500,0.012378301471471786,0.0017764515065016094
motus,V-B14,75,0.4791826903820038,0.009029701352119446,500,500,0.012378301471471786,0.0017764515065016094
