model,feature_source,vlm_variant_used,horizon,cknna_k10,robotwin_sr_easy,robotwin_sr_hard,robotwin_sr_avg
vidar_3cam_modeB,V-B0,,7,0.005755,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B0,,15,0.005093,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B0,,15,0.012088,88.7,87.0,87.85
xvla-robotwin2,V-B0,imgtext,15,0.033544,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B0,imgtext,15,0.027887,50.38,,50.38
abot-m0-robotwin2,V-B0,imgtext,15,0.028972,80.42,81.16,80.79
vidar_3cam_modeB,V-B0,,15,0.006313,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B0,,25,0.006448,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B0,,25,0.014115,88.7,87.0,87.85
xvla-robotwin2,V-B0,imgtext,25,0.036773,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B0,imgtext,25,0.030515,50.38,,50.38
abot-m0-robotwin2,V-B0,imgtext,25,0.032086,80.42,81.16,80.79
vidar_3cam_modeB,V-B0,,25,0.007331,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B0,,40,0.007285,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B0,,40,0.016398,88.7,87.0,87.85
xvla-robotwin2,V-B0,imgtext,40,0.043632,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B0,imgtext,40,0.037335,50.38,,50.38
abot-m0-robotwin2,V-B0,imgtext,40,0.038159,80.42,81.16,80.79
vidar_3cam_modeB,V-B0,,40,0.007813,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B0,,75,0.008473,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B0,,75,0.021819,88.7,87.0,87.85
xvla-robotwin2,V-B0,imgtext,75,0.057561,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B0,imgtext,75,0.049523,50.38,,50.38
abot-m0-robotwin2,V-B0,imgtext,75,0.049968,80.42,81.16,80.79
vidar_3cam_modeB,V-B0,,75,0.010054,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B0,,110,0.010765,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B0,,110,0.027319,88.7,87.0,87.85
xvla-robotwin2,V-B0,imgtext,110,0.069072,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B0,imgtext,110,0.061125,50.38,,50.38
abot-m0-robotwin2,V-B0,imgtext,110,0.062665,80.42,81.16,80.79
vidar_3cam_modeB,V-B0,,110,0.011047,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B0,,150,0.013386,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B0,,150,0.029044,88.7,87.0,87.85
xvla-robotwin2,V-B0,imgtext,150,0.078711,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B0,imgtext,150,0.072623,50.38,,50.38
abot-m0-robotwin2,V-B0,imgtext,150,0.074039,80.42,81.16,80.79
vidar_3cam_modeB,V-B0,,150,0.012396,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B0,,220,0.015160,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B0,,220,0.036370,88.7,87.0,87.85
xvla-robotwin2,V-B0,imgtext,220,0.091810,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B0,imgtext,220,0.085443,50.38,,50.38
abot-m0-robotwin2,V-B0,imgtext,220,0.086349,80.42,81.16,80.79
vidar_3cam_modeB,V-B0,,220,0.013191,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B7,,1,0.007088,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B7,,1,0.014501,88.7,87.0,87.85
xvla-robotwin2,V-B7,imgtext,1,0.027974,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B7,imgtext,1,0.023777,50.38,,50.38
abot-m0-robotwin2,V-B7,imgtext,1,0.024561,80.42,81.16,80.79
vidar_3cam_modeB,V-B7,,1,0.008194,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B7,,3,0.007158,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B7,,3,0.014633,88.7,87.0,87.85
xvla-robotwin2,V-B7,imgtext,3,0.028085,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B7,imgtext,3,0.023804,50.38,,50.38
abot-m0-robotwin2,V-B7,imgtext,3,0.024935,80.42,81.16,80.79
vidar_3cam_modeB,V-B7,,3,0.008416,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B7,,7,0.007582,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B7,,7,0.015138,88.7,87.0,87.85
xvla-robotwin2,V-B7,imgtext,7,0.030164,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B7,imgtext,7,0.024785,50.38,,50.38
abot-m0-robotwin2,V-B7,imgtext,7,0.026629,80.42,81.16,80.79
vidar_3cam_modeB,V-B7,,7,0.008538,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B7,,15,0.008056,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B7,,15,0.017278,88.7,87.0,87.85
xvla-robotwin2,V-B7,imgtext,15,0.033544,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B7,imgtext,15,0.027887,50.38,,50.38
abot-m0-robotwin2,V-B7,imgtext,15,0.028972,80.42,81.16,80.79
vidar_3cam_modeB,V-B7,,15,0.009956,65.8,17.5,41.65
