model,feature_source,vlm_variant_used,horizon,cknna_k10,robotwin_sr_easy,robotwin_sr_hard,robotwin_sr_avg
xvla-robotwin2,V-B29,imgtext,75,0.057561,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B29,imgtext,75,0.049523,50.38,,50.38
abot-m0-robotwin2,V-B29,imgtext,75,0.049968,80.42,81.16,80.79
vidar_3cam_modeB,V-B29,,75,0.009773,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B29,,110,0.012653,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B29,,110,0.042381,88.7,87.0,87.85
xvla-robotwin2,V-B29,imgtext,110,0.069072,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B29,imgtext,110,0.061125,50.38,,50.38
abot-m0-robotwin2,V-B29,imgtext,110,0.062665,80.42,81.16,80.79
vidar_3cam_modeB,V-B29,,110,0.011357,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B29,,150,0.016377,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B29,,150,0.048002,88.7,87.0,87.85
xvla-robotwin2,V-B29,imgtext,150,0.078711,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B29,imgtext,150,0.072623,50.38,,50.38
abot-m0-robotwin2,V-B29,imgtext,150,0.074039,80.42,81.16,80.79
vidar_3cam_modeB,V-B29,,150,0.012408,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-B29,,220,0.018854,92.9,91.6,92.25
motus-robotwin2-lingbot,V-B29,,220,0.058558,88.7,87.0,87.85
xvla-robotwin2,V-B29,imgtext,220,0.091810,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-B29,imgtext,220,0.085443,50.38,,50.38
abot-m0-robotwin2,V-B29,imgtext,220,0.086349,80.42,81.16,80.79
vidar_3cam_modeB,V-B29,,220,0.012923,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-Norm,,1,0.005336,92.9,91.6,92.25
motus-robotwin2-lingbot,V-Norm,,1,0.016074,88.7,87.0,87.85
xvla-robotwin2,V-Norm,imgtext,1,0.027974,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-Norm,imgtext,1,0.023777,50.38,,50.38
abot-m0-robotwin2,V-Norm,imgtext,1,0.024561,80.42,81.16,80.79
vidar_3cam_modeB,V-Norm,,1,0.005469,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-Norm,,3,0.005532,92.9,91.6,92.25
motus-robotwin2-lingbot,V-Norm,,3,0.016212,88.7,87.0,87.85
xvla-robotwin2,V-Norm,imgtext,3,0.028085,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-Norm,imgtext,3,0.023804,50.38,,50.38
abot-m0-robotwin2,V-Norm,imgtext,3,0.024935,80.42,81.16,80.79
vidar_3cam_modeB,V-Norm,,3,0.005395,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-Norm,,7,0.005759,92.9,91.6,92.25
motus-robotwin2-lingbot,V-Norm,,7,0.016992,88.7,87.0,87.85
xvla-robotwin2,V-Norm,imgtext,7,0.030164,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-Norm,imgtext,7,0.024785,50.38,,50.38
abot-m0-robotwin2,V-Norm,imgtext,7,0.026629,80.42,81.16,80.79
vidar_3cam_modeB,V-Norm,,7,0.005269,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-Norm,,15,0.006266,92.9,91.6,92.25
motus-robotwin2-lingbot,V-Norm,,15,0.018859,88.7,87.0,87.85
xvla-robotwin2,V-Norm,imgtext,15,0.033544,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-Norm,imgtext,15,0.027887,50.38,,50.38
abot-m0-robotwin2,V-Norm,imgtext,15,0.028972,80.42,81.16,80.79
vidar_3cam_modeB,V-Norm,,15,0.006258,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-Norm,,25,0.008075,92.9,91.6,92.25
motus-robotwin2-lingbot,V-Norm,,25,0.020903,88.7,87.0,87.85
xvla-robotwin2,V-Norm,imgtext,25,0.036773,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-Norm,imgtext,25,0.030515,50.38,,50.38
abot-m0-robotwin2,V-Norm,imgtext,25,0.032086,80.42,81.16,80.79
vidar_3cam_modeB,V-Norm,,25,0.007179,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-Norm,,40,0.009044,92.9,91.6,92.25
motus-robotwin2-lingbot,V-Norm,,40,0.025002,88.7,87.0,87.85
xvla-robotwin2,V-Norm,imgtext,40,0.043632,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-Norm,imgtext,40,0.037335,50.38,,50.38
abot-m0-robotwin2,V-Norm,imgtext,40,0.038159,80.42,81.16,80.79
vidar_3cam_modeB,V-Norm,,40,0.007921,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-Norm,,75,0.010780,92.9,91.6,92.25
motus-robotwin2-lingbot,V-Norm,,75,0.035121,88.7,87.0,87.85
xvla-robotwin2,V-Norm,imgtext,75,0.057561,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-Norm,imgtext,75,0.049523,50.38,,50.38
abot-m0-robotwin2,V-Norm,imgtext,75,0.049968,80.42,81.16,80.79
vidar_3cam_modeB,V-Norm,,75,0.009416,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-Norm,,110,0.013618,92.9,91.6,92.25
motus-robotwin2-lingbot,V-Norm,,110,0.044232,88.7,87.0,87.85
xvla-robotwin2,V-Norm,imgtext,110,0.069072,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-Norm,imgtext,110,0.061125,50.38,,50.38
abot-m0-robotwin2,V-Norm,imgtext,110,0.062665,80.42,81.16,80.79
vidar_3cam_modeB,V-Norm,,110,0.011092,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-Norm,,150,0.017155,92.9,91.6,92.25
motus-robotwin2-lingbot,V-Norm,,150,0.050690,88.7,87.0,87.85
xvla-robotwin2,V-Norm,imgtext,150,0.078711,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-Norm,imgtext,150,0.072623,50.38,,50.38
abot-m0-robotwin2,V-Norm,imgtext,150,0.074039,80.42,81.16,80.79
vidar_3cam_modeB,V-Norm,,150,0.012332,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,V-Norm,,220,0.019833,92.9,91.6,92.25
motus-robotwin2-lingbot,V-Norm,,220,0.061541,88.7,87.0,87.85
xvla-robotwin2,V-Norm,imgtext,220,0.091810,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,V-Norm,imgtext,220,0.085443,50.38,,50.38
abot-m0-robotwin2,V-Norm,imgtext,220,0.086349,80.42,81.16,80.79
vidar_3cam_modeB,V-Norm,,220,0.012644,65.8,17.5,41.65
lingbot-va-posttrain-robotwin,A-D1,,1,0.000973,92.9,91.6,92.25
motus-robotwin2-lingbot,A-D1,,1,0.002758,88.7,87.0,87.85
xvla-robotwin2,A-D1,imgtext,1,0.027974,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-D1,imgtext,1,0.023777,50.38,,50.38
abot-m0-robotwin2,A-D1,imgtext,1,0.024561,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-D1,,3,0.001216,92.9,91.6,92.25
motus-robotwin2-lingbot,A-D1,,3,0.002877,88.7,87.0,87.85
xvla-robotwin2,A-D1,imgtext,3,0.028085,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-D1,imgtext,3,0.023804,50.38,,50.38
abot-m0-robotwin2,A-D1,imgtext,3,0.024935,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-D1,,7,0.000978,92.9,91.6,92.25
motus-robotwin2-lingbot,A-D1,,7,0.002893,88.7,87.0,87.85
xvla-robotwin2,A-D1,imgtext,7,0.030164,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-D1,imgtext,7,0.024785,50.38,,50.38
abot-m0-robotwin2,A-D1,imgtext,7,0.026629,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-D1,,15,0.000749,92.9,91.6,92.25
motus-robotwin2-lingbot,A-D1,,15,0.002890,88.7,87.0,87.85
xvla-robotwin2,A-D1,imgtext,15,0.033544,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-D1,imgtext,15,0.027887,50.38,,50.38
abot-m0-robotwin2,A-D1,imgtext,15,0.028972,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-D1,,25,0.000771,92.9,91.6,92.25
motus-robotwin2-lingbot,A-D1,,25,0.003156,88.7,87.0,87.85
xvla-robotwin2,A-D1,imgtext,25,0.036773,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-D1,imgtext,25,0.030515,50.38,,50.38
abot-m0-robotwin2,A-D1,imgtext,25,0.032086,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-D1,,40,0.000996,92.9,91.6,92.25
motus-robotwin2-lingbot,A-D1,,40,0.004158,88.7,87.0,87.85
xvla-robotwin2,A-D1,imgtext,40,0.043632,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-D1,imgtext,40,0.037335,50.38,,50.38
abot-m0-robotwin2,A-D1,imgtext,40,0.038159,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-D1,,75,0.000698,92.9,91.6,92.25
motus-robotwin2-lingbot,A-D1,,75,0.004307,88.7,87.0,87.85
xvla-robotwin2,A-D1,imgtext,75,0.057561,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-D1,imgtext,75,0.049523,50.38,,50.38
abot-m0-robotwin2,A-D1,imgtext,75,0.049968,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-D1,,110,0.000934,92.9,91.6,92.25
motus-robotwin2-lingbot,A-D1,,110,0.005619,88.7,87.0,87.85
xvla-robotwin2,A-D1,imgtext,110,0.069072,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-D1,imgtext,110,0.061125,50.38,,50.38
abot-m0-robotwin2,A-D1,imgtext,110,0.062665,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-D1,,150,0.001116,92.9,91.6,92.25
motus-robotwin2-lingbot,A-D1,,150,0.006594,88.7,87.0,87.85
xvla-robotwin2,A-D1,imgtext,150,0.078711,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-D1,imgtext,150,0.072623,50.38,,50.38
abot-m0-robotwin2,A-D1,imgtext,150,0.074039,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-D1,,220,0.001318,92.9,91.6,92.25
motus-robotwin2-lingbot,A-D1,,220,0.006941,88.7,87.0,87.85
xvla-robotwin2,A-D1,imgtext,220,0.091810,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-D1,imgtext,220,0.085443,50.38,,50.38
abot-m0-robotwin2,A-D1,imgtext,220,0.086349,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B0,,1,0.001541,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B0,,1,0.002839,88.7,87.0,87.85
xvla-robotwin2,A-B0,imgtext,1,0.027974,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B0,imgtext,1,0.023777,50.38,,50.38
abot-m0-robotwin2,A-B0,imgtext,1,0.024561,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B0,,3,0.001726,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B0,,3,0.002959,88.7,87.0,87.85
xvla-robotwin2,A-B0,imgtext,3,0.028085,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B0,imgtext,3,0.023804,50.38,,50.38
abot-m0-robotwin2,A-B0,imgtext,3,0.024935,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B0,,7,0.001612,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B0,,7,0.002976,88.7,87.0,87.85
xvla-robotwin2,A-B0,imgtext,7,0.030164,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B0,imgtext,7,0.024785,50.38,,50.38
abot-m0-robotwin2,A-B0,imgtext,7,0.026629,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B0,,15,0.001645,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B0,,15,0.002913,88.7,87.0,87.85
xvla-robotwin2,A-B0,imgtext,15,0.033544,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B0,imgtext,15,0.027887,50.38,,50.38
abot-m0-robotwin2,A-B0,imgtext,15,0.028972,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B0,,25,0.001302,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B0,,25,0.003182,88.7,87.0,87.85
xvla-robotwin2,A-B0,imgtext,25,0.036773,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B0,imgtext,25,0.030515,50.38,,50.38
abot-m0-robotwin2,A-B0,imgtext,25,0.032086,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B0,,40,0.001749,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B0,,40,0.003998,88.7,87.0,87.85
xvla-robotwin2,A-B0,imgtext,40,0.043632,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B0,imgtext,40,0.037335,50.38,,50.38
abot-m0-robotwin2,A-B0,imgtext,40,0.038159,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B0,,75,0.001133,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B0,,75,0.004073,88.7,87.0,87.85
xvla-robotwin2,A-B0,imgtext,75,0.057561,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B0,imgtext,75,0.049523,50.38,,50.38
abot-m0-robotwin2,A-B0,imgtext,75,0.049968,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B0,,110,0.001167,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B0,,110,0.005319,88.7,87.0,87.85
xvla-robotwin2,A-B0,imgtext,110,0.069072,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B0,imgtext,110,0.061125,50.38,,50.38
abot-m0-robotwin2,A-B0,imgtext,110,0.062665,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B0,,150,0.001735,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B0,,150,0.006222,88.7,87.0,87.85
xvla-robotwin2,A-B0,imgtext,150,0.078711,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B0,imgtext,150,0.072623,50.38,,50.38
abot-m0-robotwin2,A-B0,imgtext,150,0.074039,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B0,,220,0.002200,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B0,,220,0.006480,88.7,87.0,87.85
xvla-robotwin2,A-B0,imgtext,220,0.091810,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B0,imgtext,220,0.085443,50.38,,50.38
abot-m0-robotwin2,A-B0,imgtext,220,0.086349,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B7,,1,0.002766,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B7,,1,0.002994,88.7,87.0,87.85
xvla-robotwin2,A-B7,imgtext,1,0.027974,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B7,imgtext,1,0.023777,50.38,,50.38
abot-m0-robotwin2,A-B7,imgtext,1,0.024561,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B7,,3,0.002898,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B7,,3,0.003176,88.7,87.0,87.85
xvla-robotwin2,A-B7,imgtext,3,0.028085,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B7,imgtext,3,0.023804,50.38,,50.38
abot-m0-robotwin2,A-B7,imgtext,3,0.024935,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B7,,7,0.002519,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B7,,7,0.003315,88.7,87.0,87.85
xvla-robotwin2,A-B7,imgtext,7,0.030164,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B7,imgtext,7,0.024785,50.38,,50.38
abot-m0-robotwin2,A-B7,imgtext,7,0.026629,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B7,,15,0.002775,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B7,,15,0.003564,88.7,87.0,87.85
xvla-robotwin2,A-B7,imgtext,15,0.033544,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B7,imgtext,15,0.027887,50.38,,50.38
abot-m0-robotwin2,A-B7,imgtext,15,0.028972,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B7,,25,0.002784,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B7,,25,0.003601,88.7,87.0,87.85
xvla-robotwin2,A-B7,imgtext,25,0.036773,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B7,imgtext,25,0.030515,50.38,,50.38
abot-m0-robotwin2,A-B7,imgtext,25,0.032086,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B7,,40,0.003022,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B7,,40,0.004963,88.7,87.0,87.85
xvla-robotwin2,A-B7,imgtext,40,0.043632,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B7,imgtext,40,0.037335,50.38,,50.38
abot-m0-robotwin2,A-B7,imgtext,40,0.038159,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B7,,75,0.002272,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B7,,75,0.004605,88.7,87.0,87.85
xvla-robotwin2,A-B7,imgtext,75,0.057561,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B7,imgtext,75,0.049523,50.38,,50.38
abot-m0-robotwin2,A-B7,imgtext,75,0.049968,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B7,,110,0.002890,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B7,,110,0.005809,88.7,87.0,87.85
xvla-robotwin2,A-B7,imgtext,110,0.069072,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B7,imgtext,110,0.061125,50.38,,50.38
abot-m0-robotwin2,A-B7,imgtext,110,0.062665,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B7,,150,0.003315,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B7,,150,0.006740,88.7,87.0,87.85
xvla-robotwin2,A-B7,imgtext,150,0.078711,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B7,imgtext,150,0.072623,50.38,,50.38
abot-m0-robotwin2,A-B7,imgtext,150,0.074039,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B7,,220,0.003708,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B7,,220,0.007250,88.7,87.0,87.85
xvla-robotwin2,A-B7,imgtext,220,0.091810,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B7,imgtext,220,0.085443,50.38,,50.38
abot-m0-robotwin2,A-B7,imgtext,220,0.086349,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B14,,1,0.002617,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B14,,1,0.003434,88.7,87.0,87.85
xvla-robotwin2,A-B14,imgtext,1,0.027974,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B14,imgtext,1,0.023777,50.38,,50.38
abot-m0-robotwin2,A-B14,imgtext,1,0.024561,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B14,,3,0.002887,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B14,,3,0.003682,88.7,87.0,87.85
xvla-robotwin2,A-B14,imgtext,3,0.028085,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B14,imgtext,3,0.023804,50.38,,50.38
abot-m0-robotwin2,A-B14,imgtext,3,0.024935,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B14,,7,0.002566,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B14,,7,0.003764,88.7,87.0,87.85
xvla-robotwin2,A-B14,imgtext,7,0.030164,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B14,imgtext,7,0.024785,50.38,,50.38
abot-m0-robotwin2,A-B14,imgtext,7,0.026629,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B14,,15,0.002756,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B14,,15,0.003963,88.7,87.0,87.85
xvla-robotwin2,A-B14,imgtext,15,0.033544,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B14,imgtext,15,0.027887,50.38,,50.38
abot-m0-robotwin2,A-B14,imgtext,15,0.028972,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B14,,25,0.002833,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B14,,25,0.004011,88.7,87.0,87.85
xvla-robotwin2,A-B14,imgtext,25,0.036773,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B14,imgtext,25,0.030515,50.38,,50.38
abot-m0-robotwin2,A-B14,imgtext,25,0.032086,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B14,,40,0.003003,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B14,,40,0.005550,88.7,87.0,87.85
xvla-robotwin2,A-B14,imgtext,40,0.043632,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B14,imgtext,40,0.037335,50.38,,50.38
abot-m0-robotwin2,A-B14,imgtext,40,0.038159,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B14,,75,0.002931,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B14,,75,0.005419,88.7,87.0,87.85
xvla-robotwin2,A-B14,imgtext,75,0.057561,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B14,imgtext,75,0.049523,50.38,,50.38
abot-m0-robotwin2,A-B14,imgtext,75,0.049968,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B14,,110,0.003417,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B14,,110,0.007036,88.7,87.0,87.85
xvla-robotwin2,A-B14,imgtext,110,0.069072,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B14,imgtext,110,0.061125,50.38,,50.38
abot-m0-robotwin2,A-B14,imgtext,110,0.062665,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B14,,150,0.003864,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B14,,150,0.007801,88.7,87.0,87.85
xvla-robotwin2,A-B14,imgtext,150,0.078711,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B14,imgtext,150,0.072623,50.38,,50.38
abot-m0-robotwin2,A-B14,imgtext,150,0.074039,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B14,,220,0.004199,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B14,,220,0.008517,88.7,87.0,87.85
xvla-robotwin2,A-B14,imgtext,220,0.091810,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B14,imgtext,220,0.085443,50.38,,50.38
abot-m0-robotwin2,A-B14,imgtext,220,0.086349,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B21,,1,0.002383,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B21,,1,0.003930,88.7,87.0,87.85
xvla-robotwin2,A-B21,imgtext,1,0.027974,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B21,imgtext,1,0.023777,50.38,,50.38
abot-m0-robotwin2,A-B21,imgtext,1,0.024561,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B21,,3,0.002583,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B21,,3,0.004506,88.7,87.0,87.85
xvla-robotwin2,A-B21,imgtext,3,0.028085,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B21,imgtext,3,0.023804,50.38,,50.38
abot-m0-robotwin2,A-B21,imgtext,3,0.024935,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B21,,7,0.002198,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B21,,7,0.004340,88.7,87.0,87.85
xvla-robotwin2,A-B21,imgtext,7,0.030164,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B21,imgtext,7,0.024785,50.38,,50.38
abot-m0-robotwin2,A-B21,imgtext,7,0.026629,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B21,,15,0.002649,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B21,,15,0.004553,88.7,87.0,87.85
xvla-robotwin2,A-B21,imgtext,15,0.033544,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B21,imgtext,15,0.027887,50.38,,50.38
abot-m0-robotwin2,A-B21,imgtext,15,0.028972,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B21,,25,0.002514,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B21,,25,0.004749,88.7,87.0,87.85
xvla-robotwin2,A-B21,imgtext,25,0.036773,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B21,imgtext,25,0.030515,50.38,,50.38
abot-m0-robotwin2,A-B21,imgtext,25,0.032086,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B21,,40,0.002526,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B21,,40,0.005661,88.7,87.0,87.85
xvla-robotwin2,A-B21,imgtext,40,0.043632,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B21,imgtext,40,0.037335,50.38,,50.38
abot-m0-robotwin2,A-B21,imgtext,40,0.038159,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B21,,75,0.002356,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B21,,75,0.006399,88.7,87.0,87.85
xvla-robotwin2,A-B21,imgtext,75,0.057561,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B21,imgtext,75,0.049523,50.38,,50.38
abot-m0-robotwin2,A-B21,imgtext,75,0.049968,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B21,,110,0.002742,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B21,,110,0.007491,88.7,87.0,87.85
xvla-robotwin2,A-B21,imgtext,110,0.069072,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B21,imgtext,110,0.061125,50.38,,50.38
abot-m0-robotwin2,A-B21,imgtext,110,0.062665,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B21,,150,0.003078,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B21,,150,0.007825,88.7,87.0,87.85
xvla-robotwin2,A-B21,imgtext,150,0.078711,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B21,imgtext,150,0.072623,50.38,,50.38
abot-m0-robotwin2,A-B21,imgtext,150,0.074039,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B21,,220,0.003123,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B21,,220,0.009686,88.7,87.0,87.85
xvla-robotwin2,A-B21,imgtext,220,0.091810,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B21,imgtext,220,0.085443,50.38,,50.38
abot-m0-robotwin2,A-B21,imgtext,220,0.086349,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B29,,1,0.001799,92.9,91.6,92.25
motus-robotwin2-lingbot,A-B29,,1,0.003458,88.7,87.0,87.85
xvla-robotwin2,A-B29,imgtext,1,0.027974,72.9,72.8,72.85
Qwen3VL-OFT-Robotwin2,A-B29,imgtext,1,0.023777,50.38,,50.38
abot-m0-robotwin2,A-B29,imgtext,1,0.024561,80.42,81.16,80.79
lingbot-va-posttrain-robotwin,A-B29,,3,0.001800,92.9,91.6,92.25
