reference_dataset,model,sima,robotwin_sr
ALOHA,Vidar,0.099013,55.3
DROID,Vidar,,55.3
ALOHA,Motus,0.164073,73.0
DROID,Motus,,73.0
ALOHA,LingBot-VA,0.169906,48.0
DROID,LingBot-VA,,48.0
