model,group,N,feats_A_variant,feats_B_type,horizon,cknna_k10,mutual_knn_k10
dinov2-small-standalone,L,6000,vit_raw,proprio_seq_dtw,1,0.025135,0.023017
dinov2-small-standalone,L,6000,vit_raw,proprio_seq_dtw,3,0.025308,0.0234
dinov2-small-standalone,L,6000,vit_raw,proprio_seq_dtw,7,0.026438,0.024183
dinov2-small-standalone,L,6000,vit_raw,proprio_seq_dtw,15,0.029827,0.0262
dinov2-small-standalone,L,6000,vit_raw,proprio_seq_dtw,25,0.03268,0.028133
dinov2-small-standalone,L,6000,vit_raw,proprio_seq_dtw,40,0.039516,0.03315
dinov2-small-standalone,L,6000,vit_raw,proprio_seq_dtw,75,0.052233,0.04185
dinov2-small-standalone,L,6000,vit_raw,proprio_seq_dtw,110,0.064516,0.049
dinov2-small-standalone,L,6000,vit_raw,proprio_seq_dtw,150,0.075271,0.0554
dinov2-small-standalone,L,6000,vit_raw,proprio_seq_dtw,220,0.087819,0.06335
dinov2-with-registers-base-standalone,L,6000,vit_raw,proprio_seq_dtw,1,0.025394,0.023517
dinov2-with-registers-base-standalone,L,6000,vit_raw,proprio_seq_dtw,3,0.025282,0.023667
dinov2-with-registers-base-standalone,L,6000,vit_raw,proprio_seq_dtw,7,0.026829,0.024833
dinov2-with-registers-base-standalone,L,6000,vit_raw,proprio_seq_dtw,15,0.030337,0.027133
dinov2-with-registers-base-standalone,L,6000,vit_raw,proprio_seq_dtw,25,0.033573,0.029183
dinov2-with-registers-base-standalone,L,6000,vit_raw,proprio_seq_dtw,40,0.040478,0.03415
dinov2-with-registers-base-standalone,L,6000,vit_raw,proprio_seq_dtw,75,0.054493,0.043083
dinov2-with-registers-base-standalone,L,6000,vit_raw,proprio_seq_dtw,110,0.066723,0.05095
dinov2-with-registers-base-standalone,L,6000,vit_raw,proprio_seq_dtw,150,0.077191,0.05725
dinov2-with-registers-base-standalone,L,6000,vit_raw,proprio_seq_dtw,220,0.091431,0.066017
dinov2-with-registers-giant-standalone,L,6000,vit_raw,proprio_seq_dtw,1,0.024656,0.023217
dinov2-with-registers-giant-standalone,L,6000,vit_raw,proprio_seq_dtw,3,0.024473,0.0234
dinov2-with-registers-giant-standalone,L,6000,vit_raw,proprio_seq_dtw,7,0.025788,0.02435
dinov2-with-registers-giant-standalone,L,6000,vit_raw,proprio_seq_dtw,15,0.029362,0.026733
dinov2-with-registers-giant-standalone,L,6000,vit_raw,proprio_seq_dtw,25,0.032488,0.029083
dinov2-with-registers-giant-standalone,L,6000,vit_raw,proprio_seq_dtw,40,0.037926,0.033717
dinov2-with-registers-giant-standalone,L,6000,vit_raw,proprio_seq_dtw,75,0.052084,0.043117
dinov2-with-registers-giant-standalone,L,6000,vit_raw,proprio_seq_dtw,110,0.06501,0.051233
dinov2-with-registers-giant-standalone,L,6000,vit_raw,proprio_seq_dtw,150,0.076394,0.058183
dinov2-with-registers-giant-standalone,L,6000,vit_raw,proprio_seq_dtw,220,0.090685,0.066667
dinov2-with-registers-large-standalone,L,6000,vit_raw,proprio_seq_dtw,1,0.024273,0.023033
dinov2-with-registers-large-standalone,L,6000,vit_raw,proprio_seq_dtw,3,0.024147,0.023433
dinov2-with-registers-large-standalone,L,6000,vit_raw,proprio_seq_dtw,7,0.025014,0.024083
dinov2-with-registers-large-standalone,L,6000,vit_raw,proprio_seq_dtw,15,0.028228,0.026
dinov2-with-registers-large-standalone,L,6000,vit_raw,proprio_seq_dtw,25,0.030896,0.0282
dinov2-with-registers-large-standalone,L,6000,vit_raw,proprio_seq_dtw,40,0.036513,0.0328
dinov2-with-registers-large-standalone,L,6000,vit_raw,proprio_seq_dtw,75,0.049369,0.041433
dinov2-with-registers-large-standalone,L,6000,vit_raw,proprio_seq_dtw,110,0.062897,0.049267
dinov2-with-registers-large-standalone,L,6000,vit_raw,proprio_seq_dtw,150,0.074062,0.056267
dinov2-with-registers-large-standalone,L,6000,vit_raw,proprio_seq_dtw,220,0.088368,0.06505
dinov2-with-registers-small-standalone,L,6000,vit_raw,proprio_seq_dtw,1,0.024312,0.022817
dinov2-with-registers-small-standalone,L,6000,vit_raw,proprio_seq_dtw,3,0.024598,0.023
dinov2-with-registers-small-standalone,L,6000,vit_raw,proprio_seq_dtw,7,0.026075,0.024183
dinov2-with-registers-small-standalone,L,6000,vit_raw,proprio_seq_dtw,15,0.029392,0.026183
dinov2-with-registers-small-standalone,L,6000,vit_raw,proprio_seq_dtw,25,0.032417,0.028383
dinov2-with-registers-small-standalone,L,6000,vit_raw,proprio_seq_dtw,40,0.038974,0.033117
dinov2-with-registers-small-standalone,L,6000,vit_raw,proprio_seq_dtw,75,0.051862,0.042417
dinov2-with-registers-small-standalone,L,6000,vit_raw,proprio_seq_dtw,110,0.064774,0.049367
dinov2-with-registers-small-standalone,L,6000,vit_raw,proprio_seq_dtw,150,0.075822,0.055817
dinov2-with-registers-small-standalone,L,6000,vit_raw,proprio_seq_dtw,220,0.089552,0.063817
eva-clip-l14-standalone,L,6000,vit_raw,proprio_seq_dtw,1,0.023426,0.021933
eva-clip-l14-standalone,L,6000,vit_raw,proprio_seq_dtw,3,0.023465,0.022233
eva-clip-l14-standalone,L,6000,vit_raw,proprio_seq_dtw,7,0.024789,0.023233
eva-clip-l14-standalone,L,6000,vit_raw,proprio_seq_dtw,15,0.027726,0.025017
eva-clip-l14-standalone,L,6000,vit_raw,proprio_seq_dtw,25,0.030707,0.026817
eva-clip-l14-standalone,L,6000,vit_raw,proprio_seq_dtw,40,0.03723,0.031317
eva-clip-l14-standalone,L,6000,vit_raw,proprio_seq_dtw,75,0.049322,0.038683
eva-clip-l14-standalone,L,6000,vit_raw,proprio_seq_dtw,110,0.060403,0.045417
eva-clip-l14-standalone,L,6000,vit_raw,proprio_seq_dtw,150,0.070782,0.051933
eva-clip-l14-standalone,L,6000,vit_raw,proprio_seq_dtw,220,0.084624,0.059817
ibot-base-standalone,L,6000,vit_raw,proprio_seq_dtw,1,0.02423,0.022233
ibot-base-standalone,L,6000,vit_raw,proprio_seq_dtw,3,0.024385,0.0225
ibot-base-standalone,L,6000,vit_raw,proprio_seq_dtw,7,0.026005,0.0236
ibot-base-standalone,L,6000,vit_raw,proprio_seq_dtw,15,0.029572,0.0257
ibot-base-standalone,L,6000,vit_raw,proprio_seq_dtw,25,0.032657,0.02795
ibot-base-standalone,L,6000,vit_raw,proprio_seq_dtw,40,0.038694,0.03255
ibot-base-standalone,L,6000,vit_raw,proprio_seq_dtw,75,0.051427,0.0414
ibot-base-standalone,L,6000,vit_raw,proprio_seq_dtw,110,0.063961,0.049483
